행정동_코드,행정동_코드_명,예측_매출,실제_매출
11680580,삼성1동,5430095150.112721,5365038723.0
11650651,양재1동,2731172629.4231405,2303448412.735849
11710510,풍납1동,490103324.43662995,271220100.4594595
11740520,상일동,520770416.591666,612472006.0555556
11680690,개포4동,1129891229.471748,1131249576.18
11215810,광장동,963544368.1231655,920848472.8571428
11530595,가리봉동,682070388.3434955,482597402.027027
11305635,수유3동,2177375262.660789,1799755266.82
11230750,이문2동,438745013.8386135,298682767.4285714
11215770,중곡4동,715141451.4371299,655375719.8979592
11290630,정릉2동,487671724.500155,375379691.5
11305535,미아동,968665368.7820896,902921006.2857143
11650520,서초2동,4612613003.56895,2927681685.369565
11200590,금호1가동,434693402.6135875,330858933.2222222
11290760,장위1동,496240368.2953323,341677554.625
11710532,거여2동,506215147.5803239,706862131.5277778
11200615,금호2·3가동,550086686.8424201,465772837.1
11560650,신길3동,543021533.4199514,463063299.95555556
11680655,도곡1동,1187989048.7616563,1513471026.6086957
11230600,답십리1동,692778632.7804638,868767781.5714285
11290610,보문동,441823732.5846245,374084095.3513514
11110630,종로5·6가동,3803617469.159308,2677453357.4102564
11710520,풍납2동,636632878.1121249,651255418.8292683
11305608,번3동,436842063.0967889,395824797.46875
11620605,은천동,812793405.2250311,719469012.3207548
11740550,고덕1동,430949028.2136765,283319290.8333333
11470610,신월6동,448738704.3575434,650704145.375
11230720,휘경1동,679524935.1768193,496027029.82051283
11260520,면목2동,611816364.5522255,603806502.0465117
11350710,상계9동,415254791.837571,659969716.9032258
11140670,황학동,1214475258.2061274,1279686030.1363637
11305645,우이동,856416242.9366615,752224125.945946
11260620,묵1동,781914202.8518139,1003749317.4565217
11215870,구의3동,1879408710.5163968,2001318708.3859649
11170520,용산2가동,1038650879.0183827,430367778.0
11560630,신길1동,556782205.0924009,638616824.28
11560585,도림동,581561814.6748035,408346091.6
11740640,성내1동,949938392.7162982,970006616.4772727
11470520,목2동,745058386.546695,681551368.6341463
11680610,대치2동,4367218168.055919,3746203781.4347825
11110700,숭인1동,337353972.2290079,175337065.7
11590660,대방동,1162831162.7322407,1256675645.7826087
11110515,청운효자동,834520420.4989957,745616491.2727273
11620575,행운동,913213567.438755,803675154.7291666
11545610,독산1동,2049503757.60562,4820378453.8
11290715,월곡1동,543223243.1103517,460172360.5405405
11545510,가산동,6120512446.951066,14139752769.37037
11380600,응암3동,1461733127.7279782,920470032.117647
11545640,독산4동,576088777.8514543,527582385.8787879
11680600,대치1동,1638787497.827996,3281358867.475
11470550,목5동,1768872171.7760236,1672754998.0697675
11680531,논현2동,4127075110.988068,3751558935.54
11680650,역삼2동,4744852470.445026,1854498712.0185184
11545630,독산3동,784052098.8284642,758707836.9795918
11380510,녹번동,886714573.9240494,1033978720.4047619
11215820,자양1동,919316258.7093707,845404026.2291666
11170640,이촌2동,276486981.5608942,389959041.25
11350624,중계4동,930453871.3210849,1044081965.3571428
11215850,구의1동,1044702719.0779278,1393950153.0434783
11170590,용문동,468881602.45122045,896950632.5454545
11740540,명일2동,1065876015.8004423,2036825681.1190476
11140625,다산동,921492375.7884821,887997420.6976744
11320700,방학2동,534143683.7097603,1353025012.5
11380560,구산동,493735220.98739237,404599469.8333333
11650610,방배2동,1211558031.2522428,1073036032.9302325
11530750,개봉2동,628446666.7764622,716380286.8611112
11140590,광희동,4957155417.055624,3621903762.893617
11170690,서빙고동,470351474.2272628,185849650.2352941
11215860,구의2동,844047508.3771454,640841331.4444444
11320680,쌍문3동,700034293.2760642,693906275.6511627
11230560,전농1동,1409664842.0830383,950807284.1041666
11215847,자양4동,1504114887.7885141,939808500.6458334
11200620,금호4가동,460296542.50094813,472330956.4
11290525,성북동,920749974.9945184,791324054.7428571
11140615,신당동,6136885326.898892,1886292249.3333333
11140520,소공동,6010671835.156981,3391625430.121951
11500510,염창동,1056474117.4881724,1148128634.4782608
11740580,암사2동,673004725.5268298,792452673.6774193
11140680,중림동,759012496.4785,852764862.1818181
11560540,여의동,7916701574.422829,6573970834.862745
11350560,월계1동,895897846.4976904,562824289.2439024
11410710,북가좌1동,356930496.55092967,247102054.5625
11440590,용강동,1318650190.175931,1857459290.744681
